Year,Number (in Millions),Standard Error (in Millions)
1980,5.5,0.2
1981,5.6,0.2
1982,5.7,0.3
1983,5.6,0.3
1984,6.0,0.4
1985,6.1,0.4
1986,6.6,0.4
1987,6.6,0.4
1988,6.2,0.3
1989,6.5,0.3
1990,6.2,0.3
1991,7.2,0.3
1992,7.4,0.3
1993,7.8,0.4
1994,7.7,0.3
1995,8.7,1.0
1996,7.6,0.5
1997,10.1,0.3
1998,10.5,0.3
1999,10.9,0.3
2000,12.1,0.3
2001,13.1,0.3
2002,13.5,0.4
2003,14.1,0.4
2004,15.2,0.4
2005,16.3,0.4
2006,17.3,0.5
2007,17.4,0.6
2008,18.8,0.6
2009,20.7,0.6
2010,21.1,0.5
2011,20.7,0.5
2012,21.5,0.5
2013,22.3,0.5
2014,22.0,0.5